game_id,game_date,season,week,season_type,qb_id,qb_name,team,opponent,home_away,quarter,plays,dropbacks,pass_attempts,completions,passing_yards,air_yards,pass_tds,interceptions,sacks,scrambles,rush_attempts,rushing_yards,rush_tds,fumbles_lost,turnovers,shotgun_plays,total_yards,total_epa
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0003292,K.Collins,NYG,ARI,Home,Q1,7,7,7,4,63,,0,0,0,0,0,0,0,0,0,1,63,4.205
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0003292,K.Collins,NYG,ARI,Home,Q2,9,7,7,6,45,,0,0,0,0,2,-2,0,0,0,1,43,-2.981
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0003292,K.Collins,NYG,ARI,Home,Q3,6,4,5,3,39,,0,1,0,0,1,0,0,0,1,0,39,-4.849
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0003292,K.Collins,NYG,ARI,Home,Q4,8,6,6,4,25,,0,0,0,0,2,3,0,0,0,0,28,0.279
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0013042,J.Plummer,ARI,NYG,Away,Q1,8,8,6,2,18,,0,0,0,2,2,12,0,0,0,3,30,-0.303
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0013042,J.Plummer,ARI,NYG,Away,Q2,16,15,14,8,82,,0,2,0,1,2,6,0,1,3,7,88,-2.686
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0013042,J.Plummer,ARI,NYG,Away,Q3,12,12,12,8,75,,0,1,0,0,0,0,0,0,1,3,75,-3.98
2000_01_ARI_NYG,2000-09-03,2000,1,Regular,00-0013042,J.Plummer,ARI,NYG,Away,Q4,18,18,18,10,143,,2,0,1,0,0,0,0,0,0,14,137,7.424
2000_01_BAL_PIT,2000-09-03,2000,1,Regular,00-0000722,T.Banks,BAL,PIT,Away,Q1,9,9,9,7,85,,1,0,0,0,0,0,0,0,0,2,85,4.034
2000_01_BAL_PIT,2000-09-03,2000,1,Regular,00-0000722,T.Banks,BAL,PIT,Away,Q2,10,10,10,5,72,,0,0,1,0,0,0,0,0,0,2,69,1.383
2000_01_BAL_PIT,2000-09-03,2000,1,Regular,00-0000722,T.Banks,BAL,PIT,Away,Q3,10,9,9,4,28,,0,0,0,0,1,3,0,0,0,0,31,-0.537
2000_01_BAL_PIT,2000-09-03,2000,1,Regular,00-0000722,T.Banks,BAL,PIT,Away,Q4,6,5,5,2,14,,0,0,0,0,1,2,0,0,0,0,16,-1.835
2000_01_BAL_PIT,2000-09-03,2000,1,Regular,00-0015700,K.Stewart,PIT,BAL,Home,Q4,2,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,-2.559
2000_01_CAR_WAS,2000-09-03,2000,1,Regular,00-0001218,S.Beuerlein,CAR,WAS,Away,Q1,4,4,3,3,16,,0,0,0,1,1,5,0,0,0,0,21,-0.077
2000_01_CAR_WAS,2000-09-03,2000,1,Regular,00-0001218,S.Beuerlein,CAR,WAS,Away,Q2,16,15,15,8,94,,0,0,3,1,1,5,0,0,0,0,78,-3.114
2000_01_CAR_WAS,2000-09-03,2000,1,Regular,00-0001218,S.Beuerlein,CAR,WAS,Away,Q3,8,8,8,3,27,,0,0,2,0,0,0,0,1,1,0,3,-4.664
2000_01_CAR_WAS,2000-09-03,2000,1,Regular,00-0001218,S.Beuerlein,CAR,WAS,Away,Q4,6,6,6,3,46,,1,0,1,0,0,0,0,0,0,0,32,3.044
2000_01_CAR_WAS,2000-09-03,2000,1,Regular,00-0008442,B.Johnson,WAS,CAR,Home,Q1,12,12,12,8,72,,0,0,0,0,0,0,0,0,0,4,72,2.621
